year,state,abbr,electors,d_pv,r_pv,margin,pl,pl_lag1,pl_lag2,d_2pv,d_pv_nat,r_pv_nat,margin_nat,d_2pv_nat,d_cand,r_cand,winner,d_electors,r_electors,state_winner,incumb,incumb_party,d_prev_admin,r_prev_admin,d_hsa,r_hsa,d_rsa,r_rsa,pop,area,jobs_agg,pce_agg,rdpi_agg,cpi_agg,ics_agg,sp500_agg,unemp_agg,pop_norm,hsa_adjustment,rsa_adjustment,elasticity,elasticity_lag1,elasticity_lag2
1952,Alabama,AL,11,64.55341218,35.020886141288315,29.53252603871168,20.175533039999998,NA,NA,64.82939199,44.37787914,54.8780523503322,-10.5001732103322,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,1,0,1,0,0,0,0,0,0,3068000,50750,0.5038624095260524,NA,NA,0.45576403390697257,NA,-0.7963804988262617,-0.64585349552188,0.1923256278728932,0,0,-2.8125751306322826,NA,NA
1952,Arizona,AZ,4,41.65022835,58.34977165,-16.699543300000002,-2.7276507899999984,NA,NA,41.65022835,44.37787914,54.8780523503322,-10.5001732103322,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,0,1,0,0,0,0,0,0,842000,113642,0.5038624095260524,NA,NA,0.45576403390697257,NA,-0.7963804988262617,-0.64585349552188,0.04403437479181933,0,0,1.5904064595398868,NA,NA
1952,Arkansas,AR,8,55.9041502,43.76358695746107,12.140563242538924,11.52627106,NA,NA,56.09051815,44.37787914,54.8780523503322,-10.5001732103322,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,1,0,1,0,0,0,0,0,0,1838000,52075,0.5038624095260524,NA,NA,0.45576403390697257,NA,-0.7963804988262617,-0.64585349552188,0.11038571714076344,0,0,-1.156225044991884,NA,NA
1952,California,CA,32,42.26532747,56.82913911741385,-14.56381164741385,-2.112551669999995,NA,NA,42.65155152,44.37787914,54.8780523503322,-10.5001732103322,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,0,1,0,0,1,0,0,0,11635000,155973,0.5038624095260524,NA,NA,0.45576403390697257,NA,-0.7963804988262617,-0.64585349552188,0.7630404370128573,1.3105465339619347,0,1.3870068003338287,NA,NA
1952,Colorado,CO,6,38.96251883,60.273002992617414,-21.310484162617414,-5.415360309999997,NA,NA,39.2626734,44.37787914,54.8780523503322,-10.5001732103322,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,0,1,0,0,0,0,0,0,1365000,103730,0.5038624095260524,NA,NA,0.45576403390697257,NA,-0.7963804988262617,-0.64585349552188,0.07887549130637532,0,0,2.029536440565365,NA,NA
1952,Connecticut,CT,8,43.90957881,55.70296951001867,-11.79339070001867,-0.46830032999999816,NA,NA,44.08036894,44.37787914,54.8780523503322,-10.5001732103322,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,0,1,0,0,0,0,0,0,2081000,4845,0.5038624095260524,NA,NA,0.45576403390697257,NA,-0.7963804988262617,-0.64585349552188,0.12657384584637932,0,0,1.1231615387462313,NA,NA
1952,Delaware,DE,3,47.87530527,51.75061053109951,-3.8753052610995127,3.497426130000001,NA,NA,48.0550717,44.37787914,54.8780523503322,-10.5001732103322,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,0,1,0,0,0,0,0,0,341000,1955,0.5038624095260524,NA,NA,0.45576403390697257,NA,-0.7963804988262617,-0.64585349552188,0.010658850176537206,0,0,0.36907060326263963,NA,NA
1952,Florida,FL,10,44.97456377,54.98995791591189,-10.015394145911884,0.5966846300000057,NA,NA,44.99052565,44.37787914,54.8780523503322,-10.5001732103322,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,0,1,0,0,0,0,0,0,3157000,53997,0.5038624095260524,NA,NA,0.45576403390697257,NA,-0.7963804988262617,-0.64585349552188,0.19825461328359203,0,0,0.9538313269019894,NA,NA
1952,Georgia,GA,12,69.65857125,30.34127626361372,39.31729498638627,25.280692109999997,NA,NA,69.65867747,44.37787914,54.8780523503322,-10.5001732103322,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,1,0,1,0,0,0,0,0,0,3584000,57919,0.5038624095260524,NA,NA,0.45576403390697257,NA,-0.7963804988262617,-0.64585349552188,0.2267004196922257,0,0,-3.7444425152623144,NA,NA
1952,Idaho,ID,4,34.42082894,65.41879802191318,-30.997969081913176,-9.957050199999998,NA,NA,34.47611934,44.37787914,54.8780523503322,-10.5001732103322,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,0,1,0,0,0,0,0,0,587000,82751,0.5038624095260524,NA,NA,0.45576403390697257,NA,-0.7963804988262617,-0.64585349552188,0.02704683232296316,0,0,2.952138832472886,NA,NA
1952,Illinois,IL,27,44.94295767,54.838098490981686,-9.895140820981688,0.565078530000001,NA,NA,45.04157342,44.37787914,54.8780523503322,-10.5001732103322,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,0,1,0,0,0,0,1,0,8956000,55593,0.5038624095260524,NA,NA,0.45576403390697257,NA,-0.7963804988262617,-0.64585349552188,0.5845713143694624,0,1.7106552706552707,0.9423788182127169,NA,NA
