year,weeks_left,state,d_poll_state,r_poll_state,d_poll_nat,r_poll_nat,r_convention,d_convention
2024,36,Arizona,38.2831,43.6351,39.72335,41.73985,0,0
2024,36,California,50.3191,30.56105,39.72335,41.73985,0,0
2024,36,Georgia,38.0517,44.6722,39.72335,41.73985,0,0
2024,36,Michigan,38.9849,42.5197,39.72335,41.73985,0,0
2024,36,Nevada,37.54365,44.09815,39.72335,41.73985,0,0
2024,36,North Carolina,37.22245,44.76625,39.72335,41.73985,0,0
2024,36,Pennsylvania,39.3561,43.0132,39.72335,41.73985,0,0
2024,36,Texas,36.73075,44.7211,39.72335,41.73985,0,0
2024,36,Wisconsin,38.8528,41.58205,39.72335,41.73985,0,0
2024,35,Arizona,38.57788571428571,44.24825,40.015992857142855,42.25452857142857,0,0
2024,35,California,50.04982857142857,31.08684285714286,40.015992857142855,42.25452857142857,0,0
2024,35,Georgia,38.270114285714286,45.34506428571429,40.015992857142855,42.25452857142857,0,0
2024,35,Michigan,39.426635714285716,43.186128571428576,40.015992857142855,42.25452857142857,0,0
2024,35,Nevada,37.65157857142857,44.69852857142857,40.015992857142855,42.25452857142857,0,0
2024,35,North Carolina,37.36029285714286,45.44228571428572,40.015992857142855,42.25452857142857,0,0
2024,35,Pennsylvania,39.82804285714286,43.32825,40.015992857142855,42.25452857142857,0,0
2024,35,Texas,37.0225,45.34935,40.015992857142855,42.25452857142857,0,0
2024,35,Wisconsin,39.081964285714285,42.10795,40.015992857142855,42.25452857142857,0,0
2024,34,Arizona,39.26764285714285,44.516621428571426,40.72085714285714,42.52930714285714,0,0
2024,34,California,50.28905714285714,31.46492142857143,40.72085714285714,42.52930714285714,0,0
2024,34,Georgia,39.08572142857143,45.76342857142857,40.72085714285714,42.52930714285714,0,0
2024,34,Michigan,39.68806428571428,43.63205,40.72085714285714,42.52930714285714,0,0
2024,34,Nevada,38.14064285714286,44.888714285714286,40.72085714285714,42.52930714285714,0,0
2024,34,North Carolina,37.86667142857143,45.958771428571424,40.72085714285714,42.52930714285714,0,0
2024,34,Pennsylvania,40.83922857142857,43.40802142857143,40.72085714285714,42.52930714285714,0,0
2024,34,Texas,37.779442857142854,45.89905,40.72085714285714,42.52930714285714,0,0
2024,34,Wisconsin,39.579071428571424,42.421107142857146,40.72085714285714,42.52930714285714,0,0
2024,33,Arizona,39.39789285714286,44.386807142857144,41.36642142857143,42.6654,0,0
2024,33,California,50.800178571428575,31.56292857142857,41.36642142857143,42.6654,0,0
2024,33,Georgia,39.5231,45.790014285714285,41.36642142857143,42.6654,0,0
2024,33,Michigan,39.61477142857143,44.35801428571428,41.36642142857143,42.6654,0,0
2024,33,Nevada,38.500750000000004,44.27965714285715,41.36642142857143,42.6654,0,0
2024,33,North Carolina,38.914699999999996,46.018435714285715,41.36642142857143,42.6654,0,0
2024,33,Ohio,35.954142857142855,46.78876428571429,41.36642142857143,42.6654,0,0
2024,33,Pennsylvania,41.52312857142857,43.4619,41.36642142857143,42.6654,0,0
2024,33,Texas,38.20847857142857,45.918435714285714,41.36642142857143,42.6654,0,0
2024,33,Wisconsin,39.967171428571426,42.70882857142857,41.36642142857143,42.6654,0,0
2024,32,Arizona,39.34457142857143,44.766192857142855,41.44157142857143,42.9229,0,0
2024,32,California,50.77874285714286,31.693514285714286,41.44157142857143,42.9229,0,0
2024,32,Georgia,39.727335714285715,45.77072857142857,41.44157142857143,42.9229,0,0
2024,32,Michigan,40.08452142857143,43.9855,41.44157142857143,42.9229,0,0
2024,32,Nevada,38.21722857142857,43.95926428571428,41.44157142857143,42.9229,0,0
2024,32,North Carolina,39.73957142857143,45.9169,41.44157142857143,42.9229,0,0
2024,32,Ohio,35.94723571428571,46.95607142857143,41.44157142857143,42.9229,0,0
2024,32,Pennsylvania,41.44938571428572,43.76059285714286,41.44157142857143,42.9229,0,0
2024,32,Texas,37.19757857142857,46.47288571428572,41.44157142857143,42.9229,0,0
2024,32,Wisconsin,40.195521428571425,43.095707142857144,41.44157142857143,42.9229,0,0
2024,31,Arizona,39.299435714285714,44.45708571428571,41.336264285714286,42.8116,0,0
2024,31,California,50.752985714285714,31.5385,41.336264285714286,42.8116,0,0
2024,31,Georgia,39.933192857142856,45.49265714285714,41.336264285714286,42.8116,0,0
2024,31,Michigan,40.24241428571428,43.626107142857144,41.336264285714286,42.8116,0,0
2024,31,Nevada,38.018942857142854,43.56750714285714,41.336264285714286,42.8116,0,0
2024,31,North Carolina,39.808392857142856,45.95467142857143,41.336264285714286,42.8116,0,0
2024,31,Ohio,36.00317142857143,46.85133571428571,41.336264285714286,42.8116,0,0
2024,31,Pennsylvania,41.42482857142857,43.82237142857143,41.336264285714286,42.8116,0,0
2024,31,Texas,36.35572857142857,46.570278571428574,41.336264285714286,42.8116,0,0
2024,31,Wisconsin,40.67877857142857,42.708085714285716,41.336264285714286,42.8116,0,0
2024,30,Arizona,39.238707142857145,43.787778571428575,41.550064285714285,42.37435714285714,0,0
2024,30,California,51.197657142857146,30.871357142857143,41.550064285714285,42.37435714285714,0,0
2024,30,Georgia,40.01961428571428,45.01512857142857,41.550064285714285,42.37435714285714,0,0
2024,30,Michigan,40.336778571428574,43.09932142857143,41.550064285714285,42.37435714285714,0,0
2024,30,Nevada,37.65830714285714,42.751557142857145,41.550064285714285,42.37435714285714,0,0
2024,30,North Carolina,39.864935714285714,45.44972857142857,41.550064285714285,42.37435714285714,0,0
2024,30,Ohio,36.12200714285714,46.35984285714286,41.550064285714285,42.37435714285714,0,0
