year,state,abbr,electors,d_pv,d_2pv,d_pv_nat,d_2pv_nat,d_cand,r_cand,winner,d_electors,r_electors,state_winner,incumb_party,d_incumb,r_incumb,d_prev_admin,r_prev_admin,d_hsa,r_hsa,d_rsa,r_rsa,pop,area
1952,New Jersey,NJ,16,41.98715962,42.49720249,44.37787914,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,5125000,7419
1952,New Mexico,NM,4,44.28225374,44.426925,44.37787914,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,735000,121365
1952,New York,NY,45,43.55353586,43.99061923,44.37787914,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,1,15192000,47224
1952,North Carolina,NC,14,53.91011718,53.91011718,44.37787914,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,1,1,0,0,0,0,0,0,0,0,4109000,48718
1952,North Dakota,ND,4,28.39183051,28.57387689,44.37787914,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,608000,68994
1952,Ohio,OH,25,43.24430292,43.24430292,44.37787914,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,8275000,40953
1952,Oklahoma,OK,8,45.4105654,45.4105654,44.37787914,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,2219000,68679
1952,Oregon,OR,6,38.92892546,39.13528321,44.37787914,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,1582000,96003
1952,Pennsylvania,PA,32,46.85185602,47.04607,44.37787914,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,10503000,44820
1952,Rhode Island,RI,4,49.0455925,49.07756115,44.37787914,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,802000,1034
1952,South Carolina,SC,8,50.72151891,50.72151891,44.37787914,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,1,1,0,0,0,0,0,0,0,0,2178000,30111
1952,South Dakota,SD,4,30.72756496,30.72756496,44.37787914,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,651000,75898
1952,Tennessee,TN,11,49.71245405,49.86306788,44.37787914,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,3352000,41220
1952,Texas,TX,24,46.68849768,46.7750202,44.37787914,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,8314000,261914
1952,Utah,UT,4,41.0749073,41.0749073,44.37787914,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,724000,82168
1952,Vermont,VT,3,28.23381546,28.32327271,44.37787914,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,375000,9249
1952,Virginia,VA,12,43.3567483,43.49537164,44.37787914,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,3504000,39598
1952,Washington,WA,9,44.69406225,45.13430993,44.37787914,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,2448000,66582
1952,West Virginia,WV,8,51.9236493,51.9236493,44.37787914,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,1,1,0,0,0,0,0,0,0,0,1957000,24087
1952,Wisconsin,WI,12,38.70764043,38.83935455,44.37787914,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,3469000,54314
1952,Wyoming,WY,3,37.08597999,37.16361324,44.37787914,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,293000,97105
1956,Alabama,AL,11,56.52251792,58.9342298,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,1,0,0,1,0,0,0,0,0,0,3071000,50750
1956,Arizona,AZ,4,38.90093151,38.94159451,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,0,1,0,0,0,0,0,0,1053000,113642
1956,Arkansas,AR,8,52.45737532,53.3774314,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,1,0,0,1,0,0,0,0,0,0,1704000,52075
1956,California,CA,32,44.27328631,44.42405498,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,0,1,0,0,1,0,0,0,13713000,155973
1956,Colorado,CO,6,39.81410823,40.09212181,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,0,1,0,0,0,0,0,0,1625000,103730
1956,Connecticut,CT,8,36.260978,36.26763338,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,0,1,0,0,0,0,0,0,2316000,4845
1956,Delaware,DE,3,44.62154752,44.7497718,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,0,1,0,0,0,0,0,0,408000,1955
1956,Florida,FL,10,42.72927007,42.72927007,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,0,1,0,0,0,0,0,0,4047000,53997
1956,Georgia,GA,12,66.4818834,67.06144925,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,1,0,0,1,0,0,0,0,0,0,3701000,57919
1956,Idaho,ID,4,38.78104979,38.80123293,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,0,1,0,0,0,0,0,0,628000,82751
1956,Illinois,IL,27,40.28858692,40.3655005,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,0,1,0,0,0,0,1,0,9530000,55593
1956,Indiana,IN,13,39.69944399,39.85866817,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,0,1,0,0,0,0,0,0,4458000,35870
1956,Iowa,IA,10,40.65062646,40.76682819,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,0,1,0,0,0,0,0,0,2703000,55875
1956,Kansas,KS,8,34.20714511,34.32793285,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,0,1,0,0,0,1,0,0,2119000,81823
1956,Kentucky,KY,10,45.21263422,45.43510912,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,0,1,0,0,0,0,0,0,2898000,39732
1956,Louisiana,LA,10,39.50763023,42.57709974,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,0,1,0,0,0,0,0,0,3032000,43566
1956,Maine_d1,ME_d1,0,29.13456125,29.13456125,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,0,1,0,0,0,0,0,0,938000,30865
1956,Maine_d2,ME_d2,0,29.13456125,29.13456125,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,0,1,0,0,0,0,0,0,938000,30865
1956,Maine_full,ME_full,5,29.13456125,29.13456125,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,0,1,0,0,0,0,0,0,938000,30865
1956,Maryland,MD,9,39.96488447,39.96488447,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,0,1,0,0,0,0,0,0,2811000,9775
1956,Massachusetts,MA,16,40.37417831,40.49693622,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,0,1,0,0,0,0,0,0,4891000,7838
1956,Michigan,MI,20,44.1458246,44.24526077,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,0,1,0,0,0,0,0,0,7467000,56539
1956,Minnesota,MN,11,46.08378327,46.19333691,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,0,1,0,0,0,0,0,0,7467000,56539
1956,Mississippi,MS,8,58.23033742,70.423963,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,1,0,0,1,0,0,0,0,0,0,2086000,46914
1956,Missouri,MO,13,50.10870028,50.10870028,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,1,0,0,1,0,0,0,0,0,0,4163000,68898
1956,Montana,MT,4,42.86520314,42.86520314,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,0,1,0,0,0,0,0,0,656000,145556
1956,Nebraska_d1,NE_d1,0,34.48557275,34.48557275,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,0,1,0,0,0,0,0,0,1397000,76878
1956,Nebraska_d2,NE_d2,0,34.48557275,34.48557275,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,0,1,0,0,0,0,0,0,1397000,76878
1956,Nebraska_d3,NE_d3,0,34.48557275,34.48557275,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,0,1,0,0,0,0,0,0,1397000,76878
1956,Nebraska_full,NE_full,6,34.48557275,34.48557275,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,0,1,0,0,0,0,0,0,1397000,76878
1956,Nevada,NV,3,42.03166855,42.03166855,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,0,1,0,0,0,0,0,0,250000,109806
1956,New Hampshire,NH,4,33.84495532,33.85903186,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,0,1,0,0,0,0,0,0,566000,8969
1956,New Jersey,NJ,16,34.22826924,34.60482103,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,0,1,0,0,0,0,0,0,5615000,7419
1956,New Mexico,NM,4,41.78303915,41.95487295,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,0,1,0,0,0,0,0,0,806000,121365
1956,New York,NY,45,38.77962358,38.79180252,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,0,1,0,0,0,0,0,1,16112000,47224
1956,North Carolina,NC,14,50.66352549,50.66352549,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,1,0,0,1,0,0,0,0,0,0,4309000,48718
1956,North Dakota,ND,4,38.08875118,38.16132035,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,0,1,0,0,0,0,0,0,613000,68994
1956,Ohio,OH,25,38.88579019,38.88579019,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,0,1,0,0,0,0,0,0,9207000,40953
1956,Oklahoma,OK,8,44.86891255,44.86891255,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,0,1,0,0,0,0,0,0,2273000,68679
1956,Oregon,OR,6,44.75330922,44.75330922,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,0,1,0,0,0,0,0,0,1698000,96003
1956,Pennsylvania,PA,32,43.30312905,43.39303454,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,0,1,0,0,0,0,0,0,10972000,44820
1956,Rhode Island,RI,4,41.74030149,41.74051686,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,0,1,0,0,0,0,0,0,840000,1034
