year,state,abbr,electors,d_pv,r_pv,pop,area
1952,South Dakota,SD,4,30.72756496,69.27243504,651000,75898
1952,Tennessee,TN,11,49.71245405,49.98549106,3352000,41220
1952,Texas,TX,24,46.68849768,53.12652641,8314000,261914
1952,Utah,UT,4,41.0749073,58.9250927,724000,82168
1952,Vermont,VT,3,28.23381546,71.45034092,375000,9249
1952,Virginia,VA,12,43.3567483,56.32454344,3504000,39598
1952,Washington,WA,9,44.69406225,54.33052086,2448000,66582
1952,West Virginia,WV,8,51.9236493,48.0763507,1957000,24087
1952,Wisconsin,WI,12,38.70764043,60.95323417,3469000,54314
1952,Wyoming,WY,3,37.08597999,62.70512414,293000,97105
1956,Alabama,AL,11,56.52251792,39.38527304,3071000,50750
1956,Arizona,AZ,4,38.90093151,60.99464802,1053000,113642
1956,Arkansas,AR,8,52.45737532,45.81894474,1704000,52075
1956,California,CA,32,44.27328631,55.38732848,13713000,155973
1956,Colorado,CO,6,39.81410823,59.49245484,1625000,103730
1956,Connecticut,CT,8,36.260978,63.72067126,2316000,4845
1956,Delaware,DE,3,44.62154752,55.09191631,408000,1955
1956,Florida,FL,10,42.72927007,57.27072993,4047000,53997
1956,Georgia,GA,12,66.4818834,32.65388557,3701000,57919
1956,Idaho,ID,4,38.78104979,61.16693347,628000,82751
1956,Illinois,IL,27,40.28858692,59.52087021,9530000,55593
1956,Indiana,IN,13,39.69944399,59.90108411,4458000,35870
1956,Iowa,IA,10,40.65062646,59.06433364,2703000,55875
1956,Kansas,KS,8,34.20714511,65.44099058,2119000,81823
1956,Kentucky,KY,10,45.21263422,54.29771163,2898000,39732
1956,Louisiana,LA,10,39.50763023,53.28316687,3032000,43566
1956,Maine_full,ME_full,5,29.13456125,70.86543875,938000,30865
1956,Maine_d1,ME_d1,0,29.13456125,70.86543875,938000,30865
1956,Maine_d2,ME_d2,0,29.13456125,70.86543875,938000,30865
1956,Maryland,MD,9,39.96488447,60.03511553,2811000,9775
1956,Massachusetts,MA,16,40.37417831,59.32269281,4891000,7838
1956,Michigan,MI,20,44.1458246,55.62943683,7467000,56539
1956,Minnesota,MN,11,46.08378327,53.67905344,7467000,56539
1956,Mississippi,MS,8,58.23033742,24.4550653,2086000,46914
1956,Missouri,MO,13,50.10870028,49.89129972,4163000,68898
1956,Montana,MT,4,42.86520314,57.13479686,656000,145556
1956,Nebraska_full,NE_full,6,34.48557275,65.51442725,1397000,76878
1956,Nebraska_d1,NE_d1,0,34.48557275,65.51442725,1397000,76878
1956,Nebraska_d2,NE_d2,0,34.48557275,65.51442725,1397000,76878
1956,Nebraska_d3,NE_d3,0,34.48557275,65.51442725,1397000,76878
1956,Nevada,NV,3,42.03166855,57.96833145,250000,109806
1956,New Hampshire,NH,4,33.84495532,66.11347071,566000,8969
1956,New Jersey,NJ,16,34.22826924,64.68358242,5615000,7419
1956,New Mexico,NM,4,41.78303915,57.8073927,806000,121365
1956,New York,NY,45,38.77962358,61.18898076,16112000,47224
1956,North Carolina,NC,14,50.66352549,49.33647451,4309000,48718
1956,North Dakota,ND,4,38.08875118,61.72108461,613000,68994
1956,Ohio,OH,25,38.88579019,61.11420981,9207000,40953
1956,Oklahoma,OK,8,44.86891255,55.13108745,2273000,68679
1956,Oregon,OR,6,44.75330922,55.24669078,1698000,96003
1956,Pennsylvania,PA,32,43.30312905,56.48968219,10972000,44820
1956,Rhode Island,RI,4,41.74030149,58.25918253,840000,1034
1956,South Carolina,SC,8,45.36916592,25.18439167,2229000,30111
1956,South Dakota,SD,4,41.61479903,58.38520097,670000,75898
1956,Tennessee,TN,11,48.59538601,49.21077619,3415000,41220
1956,Texas,TX,24,43.97536237,55.25922441,8830000,261914
1956,Utah,UT,4,35.43885388,64.56114612,809000,82168
1956,Vermont,VT,3,27.81380329,72.16070285,377000,9249
1956,Virginia,VA,12,38.36224064,55.36836405,3722000,39598
1956,Washington,WA,9,45.44330513,53.90876097,2668000,66582
1956,West Virginia,WV,8,45.92197451,54.07802549,1857000,24087
1956,Wisconsin,WI,12,37.84237674,61.58066967,3742000,54314
1956,Wyoming,WY,3,39.92201536,60.07798464,312000,97105
1960,Alabama,AL,11,56.38941101,42.1598553,3274000,50750
1960,Alaska,AK,3,49.05862217,50.94137783,229000,570641
1960,Arizona,AZ,4,44.36260794,55.51969806,1321000,113642
1960,Arkansas,AR,8,50.18541034,43.0581388,1789000,52075
1960,California,CA,32,49.55137708,50.09886918,15870000,155973
1960,Colorado,CO,6,44.90740867,54.63418477,1769000,103730
1960,Connecticut,CT,8,53.72999706,46.26877633,2544000,4845
1960,Delaware,DE,3,50.63477779,48.99915092,449000,1955
1960,Florida,FL,10,48.48540581,51.51459419,5004000,53997
1960,Georgia,GA,12,62.54020937,37.42720042,3956000,57919
1960,Hawaii,HI,3,50.03113072,49.96886928,642000,6423
1960,Idaho,ID,4,46.21501082,53.78498918,671000,82751
1960,Illinois,IL,27,49.98195446,49.79576068,10086000,55593
1960,Indiana,IN,13,44.59941181,55.0314701,4674000,35870
1960,Iowa,IA,10,43.22190908,56.71026291,2756000,55875
1960,Kansas,KS,8,39.1045676,60.44992329,2183000,81823
1960,Kentucky,KY,10,46.40930507,53.59069493,3041000,39732
1960,Louisiana,LA,10,50.42004429,28.59049055,3260000,43566
1960,Maine_full,ME_full,5,42.95177738,57.04680006,975000,30865
1960,Maine_d1,ME_d1,0,42.95177738,57.04680006,975000,30865
1960,Maine_d2,ME_d2,0,42.95177738,57.04680006,975000,30865
1960,Maryland,MD,9,53.61335444,46.38636129,3113000,9775
1960,Massachusetts,MA,16,60.22215203,39.55286133,5160000,7838
1960,Michigan,MI,20,50.85050256,48.83606477,7834000,56539
1960,Minnesota,MN,11,50.58301938,49.15502887,3425000,79617
1960,Mississippi,MS,8,36.34223315,24.67074263,2182000,46914
1960,Missouri,MO,13,50.25795819,49.74204181,4326000,68898
1960,Montana,MT,4,48.59553496,51.09932668,679000,145556
1960,Nebraska_full,NE_full,6,37.92919531,62.07080469,1417000,76878
1960,Nebraska_d1,NE_d1,0,37.92919531,62.07080469,1417000,76878
1960,Nebraska_d2,NE_d2,0,37.92919531,62.07080469,1417000,76878
1960,Nebraska_d3,NE_d3,0,37.92919531,62.07080469,1417000,76878
