year,abbr,pop,area,density
2012,KY,4386346,39732,110.4
2012,LA,4600972,43566,105.61
2012,MA,6663005,7838,850.09
2012,MD,5886992,9775,602.25
2012,ME,1327729,30865,43.02
2012,MI,9897145,56539,175.05
2012,MN,5376643,79617,67.53
2012,MO,6024367,68898,87.44
2012,MS,2983816,46914,63.6
2012,MT,1003783,145556,6.9
2012,NC,9749476,48718,200.12
2012,ND,701176,68994,10.16
2012,NE,1853303,76878,24.11
2012,NH,1324232,8969,147.65
2012,NJ,8844942,7419,1192.2
2012,NM,2087309,121365,17.2
2012,NV,2743996,109806,24.99
2012,NY,19572932,47224,414.47
2012,OH,11548923,40953,282
2012,OK,3818814,68679,55.6
2012,OR,3899001,96003,40.61
2012,PA,12767118,44820,284.85
2012,RI,1054621,1034,1019.94
2012,SC,4717354,30111,156.67
2012,SD,833566,75898,10.98
2012,TN,6453898,41220,156.57
2012,TX,26084481,261914,99.59
2012,UT,2853375,82168,34.73
2012,VA,8185080,39598,206.7
2012,VT,626090,9249,67.69
2012,WA,6897058,66582,103.59
2012,WI,5719960,54314,105.31
2012,WV,1856872,24087,77.09
2012,WY,576305,97105,5.93
2016,AK,741456,570641,1.3
2016,AL,4863525,50750,95.83
2016,AR,2989918,52075,57.42
2016,AZ,6941072,113642,61.08
2016,CA,39167117,155973,251.11
2016,CO,5539215,103730,53.4
2016,CT,3578141,4845,738.52
2016,DE,948921,1955,485.38
2016,FL,20613477,53997,381.75
2016,GA,10301890,57919,177.87
2016,HI,1427559,6423,222.26
2016,IA,3131371,55875,56.04
2016,ID,1682380,82751,20.33
2016,IL,12820527,55593,230.61
2016,IN,6634304,35870,184.95
2016,KS,2910844,81823,35.57
2016,KY,4438182,39732,111.7
2016,LA,4678135,43566,107.38
2016,MA,6823608,7838,870.58
2016,MD,6003323,9775,614.15
2016,ME,1331317,30865,43.13
2016,MI,9950571,56539,175.99
2016,MN,5522744,79617,69.37
2016,MO,6087135,68898,88.35
2016,MS,2987938,46914,63.69
2016,MT,1040859,145556,7.15
2016,NC,10154788,48718,208.44
2016,ND,754434,68994,10.93
2016,NE,1905616,76878,24.79
2016,NH,1342307,8969,149.66
2016,NJ,8870827,7419,1195.69
2016,NM,2091630,121365,17.23
2016,NV,2917563,109806,26.57
2016,NY,19633428,47224,415.75
2016,OH,11634370,40953,284.09
2016,OK,3926331,68679,57.17
2016,OR,4089976,96003,42.6
2016,PA,12782275,44820,285.19
2016,RI,1056770,1034,1022.02
2016,SC,4957968,30111,164.66
2016,SD,862996,75898,11.37
2016,TN,6646010,41220,161.23
2016,TX,27914410,261914,106.58
2016,UT,3041868,82168,37.02
2016,VA,8410106,39598,212.39
2016,VT,623657,9249,67.43
2016,WA,7294771,66582,109.56
2016,WI,5772628,54314,106.28
2016,WV,1831023,24087,76.02
2016,WY,584215,97105,6.02
2020,AK,733391,570641,1.29
2020,AL,5024279,50750,99
2020,AR,3011524,52075,57.83
2020,AZ,7151502,113642,62.93
2020,CA,39538223,155973,253.49
2020,CO,5773714,103730,55.66
2020,CT,3605944,4845,744.26
2020,DE,989948,1955,506.37
2020,FL,21538187,53997,398.88
2020,GA,10711908,57919,184.95
2020,HI,1455271,6423,226.57
2020,IA,3190369,55875,57.1
2020,ID,1839106,82751,22.22
2020,IL,12812508,55593,230.47
2020,IN,6785528,35870,189.17
2020,KS,2937880,81823,35.91
2020,KY,4505836,39732,113.41
2020,LA,4657757,43566,106.91
2020,MA,7029917,7838,896.9
2020,MD,6177224,9775,631.94
2020,ME,1362359,30865,44.14
2020,MI,10077331,56539,178.24
2020,MN,5706494,79617,71.67
2020,MO,6154913,68898,89.33
2020,MS,2961279,46914,63.12
2020,MT,1084225,145556,7.45
2020,NC,10439388,48718,214.28
2020,ND,779094,68994,11.29
2020,NE,1961504,76878,25.51
2020,NH,1377529,8969,153.59
2020,NJ,9288994,7419,1252.05
2020,NM,2117522,121365,17.45
2020,NV,3104614,109806,28.27
2020,NY,20201249,47224,427.78
2020,OH,11799448,40953,288.12
2020,OK,3959353,68679,57.65
2020,OR,4237256,96003,44.14
2020,PA,13002700,44820,290.11
2020,RI,1097379,1034,1061.29
2020,SC,5118425,30111,169.99
2020,SD,886667,75898,11.68
2020,TN,6910840,41220,167.66
2020,TX,29145505,261914,111.28
2020,UT,3271616,82168,39.82
2020,VA,8631393,39598,217.98
2020,VT,643077,9249,69.53
2020,WA,7705281,66582,115.73
2020,WI,5893718,54314,108.51
2020,WV,1793716,24087,74.47
2020,WY,576851,97105,5.94
