year,abbr,pop,area,density
1960,TX,9624000,261914,36.74
1960,UT,900000,82168,10.95
1960,VA,3986000,39598,100.66
1960,VT,389000,9249,42.06
1960,WA,2855000,66582,42.88
1960,WI,3962000,54314,72.95
1960,WV,1853000,24087,76.93
1960,WY,331000,97105,3.41
1964,AK,263000,570641,0.46
1964,AL,3395000,50750,66.9
1964,AR,1897000,52075,36.43
1964,AZ,1556000,113642,13.69
1964,CA,18151000,155973,116.37
1964,CO,1970000,103730,18.99
1964,CT,2798000,4845,577.5
1964,DE,497000,1955,254.22
1964,FL,5781000,53997,107.06
1964,GA,4258000,57919,73.52
1964,HI,700000,6423,108.98
1964,IA,2746000,55875,49.15
1964,ID,680000,82751,8.22
1964,IL,10580000,55593,190.31
1964,IN,4856000,35870,135.38
1964,KS,2209000,81823,27
1964,KY,3129000,39732,78.75
1964,LA,3446000,43566,79.1
1964,MA,5448000,7838,695.08
1964,MD,3492000,9775,357.24
1964,ME,993000,30865,32.17
1964,MI,8187000,56539,144.8
1964,MN,3558000,79617,44.69
1964,MO,4442000,68898,64.47
1964,MS,2241000,46914,47.77
1964,MT,706000,145556,4.85
1964,NC,4802000,48718,98.57
1964,ND,649000,68994,9.41
1964,NE,1482000,76878,19.28
1964,NH,663000,8969,73.92
1964,NJ,6660000,7419,897.7
1964,NM,1006000,121365,8.29
1964,NV,426000,109806,3.88
1964,NY,17589000,47224,372.46
1964,OH,10080000,40953,246.14
1964,OK,2446000,68679,35.61
1964,OR,1888000,96003,19.67
1964,PA,11519000,44820,257.01
1964,RI,885000,1034,855.9
1964,SC,2475000,30111,82.2
1964,SD,701000,75898,9.24
1964,TN,3771000,41220,91.48
1964,TX,10270000,261914,39.21
1964,UT,978000,82168,11.9
1964,VA,4357000,39598,110.03
1964,VT,399000,9249,43.14
1964,WA,2961000,66582,44.47
1964,WI,4165000,54314,76.68
1964,WV,1797000,24087,74.6
1964,WY,339000,97105,3.49
1968,AK,285000,570641,0.5
1968,AL,3446000,50750,67.9
1968,AR,1902000,52075,36.52
1968,AZ,1682000,113642,14.8
1968,CA,19394000,155973,124.34
1968,CO,2120000,103730,20.44
1968,CT,2964000,4845,611.76
1968,DE,534000,1955,273.15
1968,FL,6433000,53997,119.14
1968,GA,4482000,57919,77.38
1968,HI,734000,6423,114.28
1968,IA,2803000,55875,50.17
1968,ID,695000,82751,8.4
1968,IL,10995000,55593,197.78
1968,IN,5093000,35870,141.98
1968,KS,2216000,81823,27.08
1968,KY,3195000,39732,80.41
1968,LA,3603000,43566,82.7
1968,MA,5618000,7838,716.76
