year,state,abbr,electors,d_pv,pop,area,d_pv_nat,d_2pv_nat,d_cand,r_cand,winner,incumb_party,d_incumb,r_incumb,d_prev_admin,r_prev_admin,d_hsa,r_hsa,d_rsa,r_rsa,d_2pv,state_winner,dem_hsa_advantage,rep_hsa_advantage,dem_rsa_advantage,rep_rsa_advantage,total_rep_electors,total_dem_electors
1960,Indiana,IN,13,44.59941181,4674000,35870,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,0,0,0,0,1,Massachusetts,California,Massachusetts,California,44.76464622,0,0,0,0,0,220,317
1964,Indiana,IN,13,55.97842041,4856000,35870,61.05147582,61.34396784,"Johnson, Lyndon B.","Goldwater, Barry",1,1,1,0,1,0,Texas,Arizona,Texas,Arizona,56.23761387,1,0,0,0,0,52,486
1968,Indiana,IN,13,37.9855029,5093000,35870,42.71870649,49.59537839,"Humphrey, Hubert","Nixon, Richard M.",0,1,0,0,0,1,South Dakota,California,Minnesota,New York,43.03227878,0,0,0,0,0,320,218
1972,Indiana,IN,13,33.33607775,5302435,35870,37.53335786,38.21099117,"McGovern, George","Nixon, Richard M.",0,0,0,1,0,1,South Dakota,California,South Dakota,New York,33.52228912,0,0,0,0,0,521,17
1976,Indiana,IN,13,45.70038579,5389088,35870,49.85266664,51.13734917,"Carter, Jimmy","Ford, Gerald",1,0,0,1,0,1,Georgia,Nebraska,Georgia,Michigan,46.15122219,0,0,0,0,0,241,297
1980,Indiana,IN,13,37.65319244,5490721,35870,41.01993031,44.84244123,"Carter, Jimmy","Reagan, Ronald",0,1,1,0,0,0,Georgia,Illinois,Georgia,California,40.20267133,0,0,0,0,0,448,90
1984,Indiana,IN,12,37.68271379,5458322,35870,40.41861657,40.87664881,"Mondale, Walter","Reagan, Ronald",0,0,0,1,1,0,Minnesota,Illinois,Minnesota,California,37.92657088,0,0,0,0,0,525,13
1988,Indiana,IN,12,39.68618767,5491735,35870,45.54877735,46.16754471,"Dukakis, Michael","Bush, George H.W.",0,0,0,0,0,1,Massachusetts,Massachusetts,Massachusetts,Texas,39.87400887,0,0,0,0,0,426,112
1992,Indiana,IN,12,36.79390564,5648649,35870,42.88416955,53.62069584,"Clinton, Bill","Bush, George H.W.",1,0,0,1,0,1,Arkansas,Massachusetts,Arkansas,Texas,46.16510546,0,0,0,0,0,168,370
1996,Indiana,IN,12,41.55713765,5834908,35870,49.06674998,54.80402403,"Clinton, Bill","Dole, Robert",1,1,1,0,0,0,Arkansas,Kansas,Arkansas,Kansas,46.85159365,0,0,0,0,0,159,379
2000,Indiana,IN,12,41.01210293,6091866,35870,48.14325143,50.25952345,"Gore, Al","Bush, George W.",0,1,0,0,1,0,District Of Columbia,Connecticut,Tennessee,Texas,41.99521747,0,0,0,0,0,271,267
2004,Indiana,IN,11,39.26297467,6233007,35870,48.0664567,48.73068404,"Kerry, John","Bush, George W.",0,0,0,1,0,0,Colorado,Connecticut,Massachusetts,Texas,39.57652375,0,0,0,0,0,286,252
2008,Indiana,IN,11,49.94591164,6424806,35870,52.76155846,53.77076728,"Obama, Barack H.","McCain, John",1,0,0,0,0,0,Hawaii,Arizona,Illinois,Arizona,50.52195344,1,0,0,0,0,173,365
2012,Indiana,IN,11,43.9273029,6537703,35870,50.87488268,51.91525804,"Obama, Barack H.","Romney, Mitt",1,1,1,0,1,0,Hawaii,Michigan,Illinois,Massachusetts,44.7996254,0,0,0,0,0,206,332
2016,Indiana,IN,11,37.77483969,6634304,35870,47.05731122,51.16249044,"Clinton, Hillary","Trump, Donald J.",0,1,0,0,1,0,Illinois,New York,New York,New York,39.88269048,0,0,0,0,0,306,232
2020,Indiana,IN,11,40.96167706,6785528,35870,51.31570891,52.26985906,"Biden, Joseph R.","Trump, Donald J.",1,0,0,1,0,1,Pennsylvania,New York,Delaware,Florida,41.80495199,0,0,0,0,0,229,307
1952,Iowa,IA,10,35.58658641,2626000,55875,44.37787914,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,1,0,0,0,0,California,Kansas,Illinois,New York,35.82245269,0,0,0,0,0,442,89
1956,Iowa,IA,10,40.65062646,2703000,55875,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,0,1,1,0,0,California,Kansas,Illinois,New York,40.76682819,0,0,0,0,0,457,74
1960,Iowa,IA,10,43.22190908,2756000,55875,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,0,0,0,0,1,Massachusetts,California,Massachusetts,California,43.25124554,0,0,0,0,0,220,317
1964,Iowa,IA,9,61.8831461,2746000,55875,61.05147582,61.34396784,"Johnson, Lyndon B.","Goldwater, Barry",1,1,1,0,1,0,Texas,Arizona,Texas,Arizona,62.00673672,1,0,0,0,0,52,486
1968,Iowa,IA,9,40.81568175,2803000,55875,42.71870649,49.59537839,"Humphrey, Hubert","Nixon, Richard M.",0,1,0,0,0,1,South Dakota,California,Minnesota,New York,43.5021742,0,0,0,0,0,320,218
1972,Iowa,IA,8,40.47542139,2860287,55875,37.53335786,38.21099117,"McGovern, George","Nixon, Richard M.",0,0,0,1,0,1,South Dakota,California,South Dakota,New York,41.2675179,0,0,0,0,0,521,17
1976,Iowa,IA,8,48.45849654,2903082,55875,49.85266664,51.13734917,"Carter, Jimmy","Ford, Gerald",1,0,0,1,0,1,Georgia,Nebraska,Georgia,Michigan,49.48383415,0,0,0,0,0,241,297
1980,Iowa,IA,8,38.60416298,2914018,55875,41.01993031,44.84244123,"Carter, Jimmy","Reagan, Ronald",0,1,1,0,0,0,Georgia,Illinois,Georgia,California,42.93684973,0,0,0,0,0,448,90
1984,Iowa,IA,8,45.8870818,2858618,55875,40.41861657,40.87664881,"Mondale, Walter","Reagan, Ronald",0,0,0,1,1,0,Minnesota,Illinois,Minnesota,California,46.27617467,0,0,0,0,0,525,13
1988,Iowa,IA,8,54.71192398,2768388,55875,45.54877735,46.16754471,"Dukakis, Michael","Bush, George H.W.",0,0,0,0,0,1,Massachusetts,Massachusetts,Massachusetts,Texas,55.14848114,1,0,0,0,0,426,112
1992,Iowa,IA,7,43.28583862,2806923,55875,42.88416955,53.62069584,"Clinton, Bill","Bush, George H.W.",1,0,0,1,0,1,Arkansas,Massachusetts,Arkansas,Texas,53.73252911,1,0,0,0,0,168,370
1996,Iowa,IA,7,50.26096469,2848473,55875,49.06674998,54.80402403,"Clinton, Bill","Dole, Robert",1,1,1,0,0,0,Arkansas,Kansas,Arkansas,Kansas,55.73338892,1,0,0,0,0,159,379
2000,Iowa,IA,7,47.19191558,2929067,55875,48.14325143,50.25952345,"Gore, Al","Bush, George W.",0,1,0,0,1,0,District Of Columbia,Connecticut,Tennessee,Texas,50.16277919,1,0,0,0,0,271,267
2004,Iowa,IA,7,49.23313168,2953635,55875,48.0664567,48.73068404,"Kerry, John","Bush, George W.",0,0,0,1,0,0,Colorado,Connecticut,Massachusetts,Texas,49.66332073,0,0,0,0,0,286,252
2008,Iowa,IA,7,53.92802007,3016734,55875,52.76155846,53.77076728,"Obama, Barack H.","McCain, John",1,0,0,0,0,0,Hawaii,Arizona,Illinois,Arizona,54.84877779,1,0,0,0,0,173,365
2012,Iowa,IA,6,51.98801653,3076190,55875,50.87488268,51.91525804,"Obama, Barack H.","Romney, Mitt",1,1,1,0,1,0,Hawaii,Michigan,Illinois,Massachusetts,52.95935193,1,0,0,0,0,206,332
2016,Iowa,IA,6,41.75251345,3131371,55875,47.05731122,51.16249044,"Clinton, Hillary","Trump, Donald J.",0,1,0,0,1,0,Illinois,New York,New York,New York,44.93645216,0,0,0,0,0,306,232
2020,Iowa,IA,6,44.64723286,3190369,55875,51.31570891,52.26985906,"Biden, Joseph R.","Trump, Donald J.",1,0,0,1,0,1,Pennsylvania,New York,Delaware,Florida,45.81673692,0,0,0,0,0,229,307
1952,Kansas,KS,8,30.49613576,1977000,81823,44.37787914,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,1,0,0,0,0,California,Kansas,Illinois,New York,30.72129209,0,0,1,0,0,442,89
1956,Kansas,KS,8,34.20714511,2119000,81823,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,0,1,1,0,0,California,Kansas,Illinois,New York,34.32793285,0,0,1,0,0,457,74
1960,Kansas,KS,8,39.1045676,2183000,81823,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,0,0,0,0,1,Massachusetts,California,Massachusetts,California,39.27956163,0,0,0,0,0,220,317
1964,Kansas,KS,7,54.08875849,2209000,81823,61.05147582,61.34396784,"Johnson, Lyndon B.","Goldwater, Barry",1,1,1,0,1,0,Texas,Arizona,Texas,Arizona,54.55257245,1,0,0,0,0,52,486
1968,Kansas,KS,7,34.7160749,2216000,81823,42.71870649,49.59537839,"Humphrey, Hubert","Nixon, Richard M.",0,1,0,0,0,1,South Dakota,California,Minnesota,New York,38.7626492,0,0,0,0,0,320,218
1972,Kansas,KS,7,29.50425447,2256375,81823,37.53335786,38.21099117,"McGovern, George","Nixon, Richard M.",0,0,0,1,0,1,South Dakota,California,South Dakota,New York,30.36594806,0,0,0,0,0,521,17
1976,Kansas,KS,7,44.93639368,2301001,81823,49.85266664,51.13734917,"Carter, Jimmy","Ford, Gerald",1,0,0,1,0,1,Georgia,Nebraska,Georgia,Michigan,46.12445924,0,0,0,0,0,241,297
1980,Kansas,KS,7,33.28757546,2369039,81823,41.01993031,44.84244123,"Carter, Jimmy","Reagan, Ronald",0,1,1,0,0,0,Georgia,Illinois,Georgia,California,36.52451056,0,0,0,0,0,448,90
1984,Kansas,KS,7,32.59803658,2424086,81823,40.41861657,40.87664881,"Mondale, Walter","Reagan, Ronald",0,0,0,1,1,0,Minnesota,Illinois,Minnesota,California,32.97052289,0,0,0,0,0,525,13
1988,Kansas,KS,7,42.55964489,2461996,81823,45.54877735,46.16754471,"Dukakis, Michael","Bush, George H.W.",0,0,0,0,0,1,Massachusetts,Massachusetts,Massachusetts,Texas,43.2724983,0,0,0,0,0,426,112
1992,Kansas,KS,6,33.73849414,2526042,81823,42.88416955,53.62069584,"Clinton, Bill","Bush, George H.W.",1,0,0,1,0,1,Arkansas,Massachusetts,Arkansas,Texas,46.45894441,0,0,0,0,0,168,370
1996,Kansas,KS,6,36.0847994,2598266,81823,49.06674998,54.80402403,"Clinton, Bill","Dole, Robert",1,1,1,0,0,0,Arkansas,Kansas,Arkansas,Kansas,39.92763445,0,0,1,0,1,159,379
2000,Kansas,KS,6,37.23839226,2693681,81823,48.14325143,50.25952345,"Gore, Al","Bush, George W.",0,1,0,0,1,0,District Of Columbia,Connecticut,Tennessee,Texas,39.08309253,0,0,0,0,0,271,267
2004,Kansas,KS,6,36.62309431,2734373,81823,48.0664567,48.73068404,"Kerry, John","Bush, George W.",0,0,0,1,0,0,Colorado,Connecticut,Massachusetts,Texas,37.13290122,0,0,0,0,0,286,252
2008,Kansas,KS,6,41.65196719,2808076,81823,52.76155846,53.77076728,"Obama, Barack H.","McCain, John",1,0,0,0,0,0,Hawaii,Arizona,Illinois,Arizona,42.38772418,0,0,0,0,0,173,365
2012,Kansas,KS,6,37.99457055,2885257,81823,50.87488268,51.91525804,"Obama, Barack H.","Romney, Mitt",1,1,1,0,1,0,Hawaii,Michigan,Illinois,Massachusetts,38.88667325,0,0,0,0,0,206,332
2016,Kansas,KS,6,36.05237073,2910844,81823,47.05731122,51.16249044,"Clinton, Hillary","Trump, Donald J.",0,1,0,0,1,0,Illinois,New York,New York,New York,38.88852965,0,0,0,0,0,306,232
2020,Kansas,KS,6,41.55955354,2937880,81823,51.31570891,52.26985906,"Biden, Joseph R.","Trump, Donald J.",1,0,0,1,0,1,Pennsylvania,New York,Delaware,Florida,42.50657175,0,0,0,0,0,229,307
1952,Kentucky,KY,10,49.91491701,2920000,39732,44.37787914,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,1,0,0,0,0,California,Kansas,Illinois,New York,50.03532649,1,0,0,0,0,442,89
1956,Kentucky,KY,10,45.21263422,2898000,39732,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,0,1,1,0,0,California,Kansas,Illinois,New York,45.43510912,0,0,0,0,0,457,74
1960,Kentucky,KY,10,46.40930507,3041000,39732,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,0,0,0,0,1,Massachusetts,California,Massachusetts,California,46.40930507,0,0,0,0,0,220,317
1964,Kentucky,KY,9,64.01451097,3129000,39732,61.05147582,61.34396784,"Johnson, Lyndon B.","Goldwater, Barry",1,1,1,0,1,0,Texas,Arizona,Texas,Arizona,64.22749646,1,0,0,0,0,52,486
1968,Kentucky,KY,9,37.64974292,3195000,39732,42.71870649,49.59537839,"Humphrey, Hubert","Nixon, Richard M.",0,1,0,0,0,1,South Dakota,California,Minnesota,New York,46.22827786,0,0,0,0,0,320,218
1972,Kentucky,KY,9,34.76902554,3335728,39732,37.53335786,38.21099117,"McGovern, George","Nixon, Richard M.",0,0,0,1,0,1,South Dakota,California,South Dakota,New York,35.42928871,0,0,0,0,0,521,17
1976,Kentucky,KY,9,52.75424927,3529257,39732,49.85266664,51.13734917,"Carter, Jimmy","Ford, Gerald",1,0,0,1,0,1,Georgia,Nebraska,Georgia,Michigan,53.65402864,1,0,0,0,0,241,297
1980,Kentucky,KY,9,47.65391583,3664221,39732,41.01993031,44.84244123,"Carter, Jimmy","Reagan, Ronald",0,1,1,0,0,0,Georgia,Illinois,Georgia,California,49.2872544,0,0,0,0,0,448,90
1984,Kentucky,KY,9,39.40124658,3695453,39732,40.41861657,40.87664881,"Mondale, Walter","Reagan, Ronald",0,0,0,1,1,0,Minnesota,Illinois,Minnesota,California,39.63581761,0,0,0,0,0,525,13
1988,Kentucky,KY,9,43.88359469,3679999,39732,45.54877735,46.16754471,"Dukakis, Michael","Bush, George H.W.",0,0,0,0,0,1,Massachusetts,Massachusetts,Massachusetts,Texas,44.14623219,0,0,0,0,0,426,112
1992,Kentucky,KY,8,44.55114207,3756358,39732,42.88416955,53.62069584,"Clinton, Bill","Bush, George H.W.",1,0,0,1,0,1,Arkansas,Massachusetts,Arkansas,Texas,51.86877769,1,0,0,0,0,168,370
1996,Kentucky,KY,8,45.84217849,3881051,39732,49.06674998,54.80402403,"Clinton, Bill","Dole, Robert",1,1,1,0,0,0,Arkansas,Kansas,Arkansas,Kansas,50.52905119,1,0,0,0,0,159,379
2000,Kentucky,KY,8,41.37818259,4049021,39732,48.14325143,50.25952345,"Gore, Al","Bush, George W.",0,1,0,0,1,0,District Of Columbia,Connecticut,Tennessee,Texas,42.27238474,0,0,0,0,0,271,267
2004,Kentucky,KY,8,39.68707298,4146101,39732,48.0664567,48.73068404,"Kerry, John","Bush, George W.",0,0,0,1,0,0,Colorado,Connecticut,Massachusetts,Texas,39.99238008,0,0,0,0,0,286,252
2008,Kentucky,KY,8,41.16811378,4289878,39732,52.76155846,53.77076728,"Obama, Barack H.","McCain, John",1,0,0,0,0,0,Hawaii,Arizona,Illinois,Arizona,41.76657241,0,0,0,0,0,173,365
2012,Kentucky,KY,8,37.80132783,4386346,39732,50.87488268,51.91525804,"Obama, Barack H.","Romney, Mitt",1,1,1,0,1,0,Hawaii,Michigan,Illinois,Massachusetts,38.4572276,0,0,0,0,0,206,332
2016,Kentucky,KY,8,32.68218833,4438182,39732,47.05731122,51.16249044,"Clinton, Hillary","Trump, Donald J.",0,1,0,0,1,0,Illinois,New York,New York,New York,34.32937098,0,0,0,0,0,306,232
2020,Kentucky,KY,8,36.15151481,4505836,39732,51.31570891,52.26985906,"Biden, Joseph R.","Trump, Donald J.",1,0,0,1,0,1,Pennsylvania,New York,Delaware,Florida,36.7998971,0,0,0,0,0,229,307
1952,Louisiana,LA,10,52.92214764,2842000,43566,44.37787914,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,1,0,0,0,0,California,Kansas,Illinois,New York,52.92214764,1,0,0,0,0,442,89
1956,Louisiana,LA,10,39.50763023,3032000,43566,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,0,1,1,0,0,California,Kansas,Illinois,New York,42.57709974,0,0,0,0,0,457,74
1960,Louisiana,LA,10,50.42004429,3260000,43566,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,0,0,0,0,1,Massachusetts,California,Massachusetts,California,63.81433108,1,0,0,0,0,220,317
1964,Louisiana,LA,10,43.18543155,3446000,43566,61.05147582,61.34396784,"Johnson, Lyndon B.","Goldwater, Barry",1,1,1,0,1,0,Texas,Arizona,Texas,Arizona,43.18543155,0,0,0,0,0,52,486
1968,Louisiana,LA,10,28.21221924,3603000,43566,42.71870649,49.59537839,"Humphrey, Hubert","Nixon, Richard M.",0,1,0,0,0,1,South Dakota,California,Minnesota,New York,54.59137795,1,0,0,0,0,320,218
1972,Louisiana,LA,10,28.35421321,3761646,43566,37.53335786,38.21099117,"McGovern, George","Nixon, Richard M.",0,0,0,1,0,1,South Dakota,California,South Dakota,New York,30.26840773,0,0,0,0,0,521,17
1976,Louisiana,LA,10,51.77499622,3950605,43566,49.85266664,51.13734917,"Carter, Jimmy","Ford, Gerald",1,0,0,1,0,1,Georgia,Nebraska,Georgia,Michigan,52.95957515,1,0,0,0,0,241,297
1980,Louisiana,LA,10,45.74823178,4223101,43566,41.01993031,44.84244123,"Carter, Jimmy","Reagan, Ronald",0,1,1,0,0,0,Georgia,Illinois,Georgia,California,47.18911401,0,0,0,0,0,448,90
1984,Louisiana,LA,10,38.17539263,4400477,43566,40.41861657,40.87664881,"Mondale, Walter","Reagan, Ronald",0,0,0,1,1,0,Minnesota,Illinois,Minnesota,California,38.58083884,0,0,0,0,0,525,13
1988,Louisiana,LA,10,44.0645571,4288863,43566,45.54877735,46.16754471,"Dukakis, Michael","Bush, George H.W.",0,0,0,0,0,1,Massachusetts,Massachusetts,Massachusetts,Texas,44.80870768,0,0,0,0,0,426,112
1992,Louisiana,LA,9,45.58453914,4270849,43566,42.88416955,53.62069584,"Clinton, Bill","Bush, George H.W.",1,0,0,1,0,1,Arkansas,Massachusetts,Arkansas,Texas,52.66513786,1,0,0,0,0,168,370
1996,Louisiana,LA,9,52.00999575,4338763,43566,49.06674998,54.80402403,"Clinton, Bill","Dole, Robert",1,1,1,0,0,0,Arkansas,Kansas,Arkansas,Kansas,56.56083828,1,0,0,0,0,159,379
2000,Louisiana,LA,9,44.87533245,4471885,43566,48.14325143,50.25952345,"Gore, Al","Bush, George W.",0,1,0,0,1,0,District Of Columbia,Connecticut,Tennessee,Texas,46.06075403,0,0,0,0,0,271,267
2004,Louisiana,LA,9,42.2158647,4552238,43566,48.0664567,48.73068404,"Kerry, John","Bush, George W.",0,0,0,1,0,0,Colorado,Connecticut,Massachusetts,Texas,42.66905873,0,0,0,0,0,286,252
2008,Louisiana,LA,9,39.9329138,4435586,43566,52.76155846,53.77076728,"Obama, Barack H.","McCain, John",1,0,0,0,0,0,Hawaii,Arizona,Illinois,Arizona,40.54282584,0,0,0,0,0,173,365
2012,Louisiana,LA,8,40.57746362,4600972,43566,50.87488268,51.91525804,"Obama, Barack H.","Romney, Mitt",1,1,1,0,1,0,Hawaii,Michigan,Illinois,Massachusetts,41.25317438,0,0,0,0,0,206,332
2016,Louisiana,LA,8,38.4495661,4678135,43566,47.05731122,51.16249044,"Clinton, Hillary","Trump, Donald J.",0,1,0,0,1,0,Illinois,New York,New York,New York,39.82832276,0,0,0,0,0,306,232
2020,Louisiana,LA,8,39.8514568,4657757,43566,51.31570891,52.26985906,"Biden, Joseph R.","Trump, Donald J.",1,0,0,1,0,1,Pennsylvania,New York,Delaware,Florida,40.53555954,0,0,0,0,0,229,307
1952,Maine_d1,ME_d1,0,33.77223653,915000,30865,44.37787914,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,1,0,0,0,0,California,Kansas,Illinois,New York,33.8325374,0,0,0,0,0,442,89
1956,Maine_d1,ME_d1,0,29.13456125,938000,30865,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,0,1,1,0,0,California,Kansas,Illinois,New York,29.13456125,0,0,0,0,0,457,74
1960,Maine_d1,ME_d1,0,42.95177738,975000,30865,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,0,0,0,0,1,Massachusetts,California,Massachusetts,California,42.9523884,0,0,0,0,0,220,317
1964,Maine_d1,ME_d1,0,68.79579037,993000,30865,61.05147582,61.34396784,"Johnson, Lyndon B.","Goldwater, Barry",1,1,1,0,1,0,Texas,Arizona,Texas,Arizona,68.84201961,1,0,0,0,0,52,486
1968,Maine_d1,ME_d1,0,55.30468066,994000,30865,42.71870649,49.59537839,"Humphrey, Hubert","Nixon, Richard M.",0,1,0,0,0,1,South Dakota,California,Minnesota,New York,56.21601486,1,0,0,0,0,320,218
1972,Maine_d1,ME_d1,1,39,1034292,30865,37.53335786,38.21099117,"McGovern, George","Nixon, Richard M.",0,0,0,1,0,1,South Dakota,California,South Dakota,New York,39,0,0,0,0,0,521,17
1976,Maine_d1,ME_d1,1,48,1088412,30865,49.85266664,51.13734917,"Carter, Jimmy","Ford, Gerald",1,0,0,1,0,1,Georgia,Nebraska,Georgia,Michigan,49.48453608,0,0,0,0,0,241,297
1980,Maine_d1,ME_d1,1,42,1126860,30865,41.01993031,44.84244123,"Carter, Jimmy","Reagan, Ronald",0,1,1,0,0,0,Georgia,Illinois,Georgia,California,48.27586207,0,0,0,0,0,448,90
1984,Maine_d1,ME_d1,1,40,1155635,30865,40.41861657,40.87664881,"Mondale, Walter","Reagan, Ronald",0,0,0,1,1,0,Minnesota,Illinois,Minnesota,California,40,0,0,0,0,0,525,13
1988,Maine_d1,ME_d1,1,43,1203840,30865,45.54877735,46.16754471,"Dukakis, Michael","Bush, George H.W.",0,0,0,0,0,1,Massachusetts,Massachusetts,Massachusetts,Texas,43.43434343,0,0,0,0,0,426,112
1992,Maine_d1,ME_d1,1,40,1235748,30865,42.88416955,53.62069584,"Clinton, Bill","Bush, George H.W.",1,0,0,1,0,1,Arkansas,Massachusetts,Arkansas,Texas,55.55555556,1,0,0,0,0,168,370
1996,Maine_d1,ME_d1,1,52,1241436,30865,49.06674998,54.80402403,"Clinton, Bill","Dole, Robert",1,1,1,0,0,0,Arkansas,Kansas,Arkansas,Kansas,61.9047619,1,0,0,0,0,159,379
2000,Maine_d1,ME_d1,1,51,1277072,30865,48.14325143,50.25952345,"Gore, Al","Bush, George W.",0,1,0,0,1,0,District Of Columbia,Connecticut,Tennessee,Texas,54.25531915,1,0,0,0,0,271,267
2004,Maine_d1,ME_d1,1,55,1313688,30865,48.0664567,48.73068404,"Kerry, John","Bush, George W.",0,0,0,1,0,0,Colorado,Connecticut,Massachusetts,Texas,56.12244898,1,0,0,0,0,286,252
2008,Maine_d1,ME_d1,1,61,1330509,30865,52.76155846,53.77076728,"Obama, Barack H.","McCain, John",1,0,0,0,0,0,Hawaii,Arizona,Illinois,Arizona,61.61616162,1,0,0,0,0,173,365
2012,Maine_d1,ME_d1,1,60,1327729,30865,50.87488268,51.91525804,"Obama, Barack H.","Romney, Mitt",1,1,1,0,1,0,Hawaii,Michigan,Illinois,Massachusetts,61.2244898,1,0,0,0,0,206,332
2016,Maine_d1,ME_d1,1,54,1331317,30865,47.05731122,51.16249044,"Clinton, Hillary","Trump, Donald J.",0,1,0,0,1,0,Illinois,New York,New York,New York,58.06451613,1,0,0,0,0,306,232
2020,Maine_d1,ME_d1,1,60,1362359,30865,51.31570891,52.26985906,"Biden, Joseph R.","Trump, Donald J.",1,0,0,1,0,1,Pennsylvania,New York,Delaware,Florida,61.8556701,1,0,0,0,0,229,307
1952,Maine_d2,ME_d2,0,33.77223653,915000,30865,44.37787914,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,1,0,0,0,0,California,Kansas,Illinois,New York,33.8325374,0,0,0,0,0,442,89
1956,Maine_d2,ME_d2,0,29.13456125,938000,30865,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,0,1,1,0,0,California,Kansas,Illinois,New York,29.13456125,0,0,0,0,0,457,74
1960,Maine_d2,ME_d2,0,42.95177738,975000,30865,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,0,0,0,0,1,Massachusetts,California,Massachusetts,California,42.9523884,0,0,0,0,0,220,317
1964,Maine_d2,ME_d2,0,68.79579037,993000,30865,61.05147582,61.34396784,"Johnson, Lyndon B.","Goldwater, Barry",1,1,1,0,1,0,Texas,Arizona,Texas,Arizona,68.84201961,1,0,0,0,0,52,486
1968,Maine_d2,ME_d2,0,55.30468066,994000,30865,42.71870649,49.59537839,"Humphrey, Hubert","Nixon, Richard M.",0,1,0,0,0,1,South Dakota,California,Minnesota,New York,56.21601486,1,0,0,0,0,320,218
1972,Maine_d2,ME_d2,1,38,1034292,30865,37.53335786,38.21099117,"McGovern, George","Nixon, Richard M.",0,0,0,1,0,1,South Dakota,California,South Dakota,New York,38,0,0,0,0,0,521,17
1976,Maine_d2,ME_d2,1,48,1088412,30865,49.85266664,51.13734917,"Carter, Jimmy","Ford, Gerald",1,0,0,1,0,1,Georgia,Nebraska,Georgia,Michigan,49.48453608,0,0,0,0,0,241,297
1980,Maine_d2,ME_d2,1,43,1126860,30865,41.01993031,44.84244123,"Carter, Jimmy","Reagan, Ronald",0,1,1,0,0,0,Georgia,Illinois,Georgia,California,48.31460674,0,0,0,0,0,448,90
1984,Maine_d2,ME_d2,1,38,1155635,30865,40.41861657,40.87664881,"Mondale, Walter","Reagan, Ronald",0,0,0,1,1,0,Minnesota,Illinois,Minnesota,California,38,0,0,0,0,0,525,13
1988,Maine_d2,ME_d2,1,45,1203840,30865,45.54877735,46.16754471,"Dukakis, Michael","Bush, George H.W.",0,0,0,0,0,1,Massachusetts,Massachusetts,Massachusetts,Texas,45,0,0,0,0,0,426,112
1992,Maine_d2,ME_d2,1,38,1235748,30865,42.88416955,53.62069584,"Clinton, Bill","Bush, George H.W.",1,0,0,1,0,1,Arkansas,Massachusetts,Arkansas,Texas,57.57575758,1,0,0,0,0,168,370
1996,Maine_d2,ME_d2,1,51,1241436,30865,49.06674998,54.80402403,"Clinton, Bill","Dole, Robert",1,1,1,0,0,0,Arkansas,Kansas,Arkansas,Kansas,62.96296296,1,0,0,0,0,159,379
2000,Maine_d2,ME_d2,1,47,1277072,30865,48.14325143,50.25952345,"Gore, Al","Bush, George W.",0,1,0,0,1,0,District Of Columbia,Connecticut,Tennessee,Texas,50.53763441,1,0,0,0,0,271,267
2004,Maine_d2,ME_d2,1,52,1313688,30865,48.0664567,48.73068404,"Kerry, John","Bush, George W.",0,0,0,1,0,0,Colorado,Connecticut,Massachusetts,Texas,53.06122449,1,0,0,0,0,286,252
2008,Maine_d2,ME_d2,1,55,1330509,30865,52.76155846,53.77076728,"Obama, Barack H.","McCain, John",1,0,0,0,0,0,Hawaii,Arizona,Illinois,Arizona,56.12244898,1,0,0,0,0,173,365
2012,Maine_d2,ME_d2,1,53,1327729,30865,50.87488268,51.91525804,"Obama, Barack H.","Romney, Mitt",1,1,1,0,1,0,Hawaii,Michigan,Illinois,Massachusetts,54.63917526,1,0,0,0,0,206,332
2016,Maine_d2,ME_d2,1,41,1331317,30865,47.05731122,51.16249044,"Clinton, Hillary","Trump, Donald J.",0,1,0,0,1,0,Illinois,New York,New York,New York,44.56521739,0,0,0,0,0,306,232
2020,Maine_d2,ME_d2,1,51,1362359,30865,51.31570891,52.26985906,"Biden, Joseph R.","Trump, Donald J.",1,0,0,1,0,1,Pennsylvania,New York,Delaware,Florida,55.43478261,1,0,0,0,0,229,307
