year,state,abbr,electors,d_pv,r_pv,margin,pl,d_2pv,d_pv_nat,r_pv_nat,margin_nat,d_2pv_nat,d_cand,r_cand,winner,d_electors,r_electors,state_winner,incumb_party,d_incumb,r_incumb,d_prev_admin,r_prev_admin,d_hsa,r_hsa,d_rsa,r_rsa,pop,area,jobs_pct_change,pce_pct_change,rdpi_pct_change,cpi_pct_change,ics_pct_change,sp500_avg,unemp_avg
1952,Maine_d1,ME_d1,0,33.77223653,66.0495301,-32.27729357,-10.60564261,33.8325374,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,915000,30865,0.684633769,NA,NA,1.186325247,NA,-0.792227637,-1.365369935
1952,Maine_d2,ME_d2,0,33.77223653,66.0495301,-32.27729357,-10.60564261,33.8325374,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,915000,30865,0.684633769,NA,NA,1.186325247,NA,-0.792227637,-1.365369935
1952,Maine_full,ME_full,5,33.77223653,66.0495301,-32.27729357,-10.60564261,33.8325374,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,915000,30865,0.684633769,NA,NA,1.186325247,NA,-0.792227637,-1.365369935
1952,Maryland,MD,9,43.82534027,55.36397236,-11.53863209,-0.55253887,44.18353057,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,2500000,9775,0.684633769,NA,NA,1.186325247,NA,-0.792227637,-1.365369935
1952,Massachusetts,MA,16,45.46135392,54.22195539,-8.760601469,1.08347478,45.60578319,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,4650000,7838,0.684633769,NA,NA,1.186325247,NA,-0.792227637,-1.365369935
1952,Michigan,MI,20,43.97414843,55.4396282,-11.46547977,-0.40373071,44.23345528,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,6650000,56539,0.684633769,NA,NA,1.186325247,NA,-0.792227637,-1.365369935
1952,Minnesota,MN,11,44.10768382,55.32587208,-11.21818826,-0.27019532,44.35895249,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,3030000,79617,0.684633769,NA,NA,1.186325247,NA,-0.792227637,-1.365369935
1952,Mississippi,MS,8,60.43665859,39.56334141,20.87331718,16.05877945,60.43665859,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,1,1,0,0,0,0,0,0,0,0,2152000,46914,0.684633769,NA,NA,1.186325247,NA,-0.792227637,-1.365369935
1952,Missouri,MO,13,49.14373842,50.70811633,-1.56437791,4.76585928,49.21665055,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,3972000,68898,0.684633769,NA,NA,1.186325247,NA,-0.792227637,-1.365369935
1952,Montana,MT,4,40.07478201,59.38567068,-19.31088867,-4.30309713,40.29217737,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,602000,145556,0.684633769,NA,NA,1.186325247,NA,-0.792227637,-1.365369935
