year,weeks_left,state,d_poll_state,r_poll_state,d_poll_nat,r_poll_nat,r_convention,d_convention,approval,poll_margin,poll_margin_nat
2024,31,California,50.75298571,31.5385,41.33626429,42.8116,0,0,40.27514894,19.21448571,-1.47533571
2024,31,Georgia,39.93319286,45.49265714,41.33626429,42.8116,0,0,40.27514894,-5.55946428,-1.47533571
2024,31,Michigan,40.24241429,43.62610714,41.33626429,42.8116,0,0,40.27514894,-3.38369285,-1.47533571
2024,31,Nevada,38.01894286,43.56750714,41.33626429,42.8116,0,0,40.27514894,-5.54856428,-1.47533571
2024,31,North Carolina,39.80839286,45.95467143,41.33626429,42.8116,0,0,40.27514894,-6.14627857,-1.47533571
2024,31,Ohio,36.00317143,46.85133571,41.33626429,42.8116,0,0,40.27514894,-10.84816428,-1.47533571
2024,31,Pennsylvania,41.42482857,43.82237143,41.33626429,42.8116,0,0,40.27514894,-2.39754286,-1.47533571
2024,31,Texas,36.35572857,46.57027857,41.33626429,42.8116,0,0,40.27514894,-10.21455,-1.47533571
2024,31,Wisconsin,40.67877857,42.70808571,41.33626429,42.8116,0,0,40.27514894,-2.02930714,-1.47533571
2024,30,Arizona,39.23870714,43.78777857,41.55006429,42.37435714,0,0,40.27514894,-4.54907143,-0.82429285
2024,30,California,51.19765714,30.87135714,41.55006429,42.37435714,0,0,40.27514894,20.3263,-0.82429285
2024,30,Georgia,40.01961429,45.01512857,41.55006429,42.37435714,0,0,40.27514894,-4.99551428,-0.82429285
2024,30,Michigan,40.33677857,43.09932143,41.55006429,42.37435714,0,0,40.27514894,-2.76254286,-0.82429285
2024,30,Nevada,37.65830714,42.75155714,41.55006429,42.37435714,0,0,40.27514894,-5.09325,-0.82429285
2024,30,North Carolina,39.86493571,45.44972857,41.55006429,42.37435714,0,0,40.27514894,-5.58479286,-0.82429285
2024,30,Ohio,36.12200714,46.35984286,41.55006429,42.37435714,0,0,40.27514894,-10.23783572,-0.82429285
2024,30,Pennsylvania,41.62625714,43.21373571,41.55006429,42.37435714,0,0,40.27514894,-1.58747857,-0.82429285
2024,30,Texas,36.47600714,46.23645714,41.55006429,42.37435714,0,0,40.27514894,-9.76045,-0.82429285
2024,30,Wisconsin,40.93268571,42.07355,41.55006429,42.37435714,0,0,40.27514894,-1.14086429,-0.82429285
2024,29,Arizona,38.81826429,43.41669286,41.16512143,42.02362857,0,0,40.27514894,-4.59842857,-0.85850714
2024,29,California,51.27942143,30.22745714,41.16512143,42.02362857,0,0,40.27514894,21.05196429,-0.85850714
2024,29,Florida,37.3644,47.40415,41.052175,42.0517,0,0,40.27514894,-10.03975,-0.999525
2024,29,Georgia,39.58029286,45.00484286,41.16512143,42.02362857,0,0,40.27514894,-5.42455,-0.85850714
2024,29,Michigan,40.03938571,42.78646429,41.16512143,42.02362857,0,0,40.27514894,-2.74707858,-0.85850714
2024,29,Nevada,37.57068571,42.67317143,41.16512143,42.02362857,0,0,40.27514894,-5.10248572,-0.85850714
2024,29,North Carolina,39.76230714,44.96055,41.16512143,42.02362857,0,0,40.27514894,-5.19824286,-0.85850714
2024,29,Ohio,35.79496429,46.01370714,41.16512143,42.02362857,0,0,40.27514894,-10.21874285,-0.85850714
2024,29,Pennsylvania,41.54865,42.98481429,41.16512143,42.02362857,0,0,40.27514894,-1.43616429,-0.85850714
2024,29,Texas,36.37067857,46.2166,41.16512143,42.02362857,0,0,40.27514894,-9.84592143,-0.85850714
2024,29,Wisconsin,41.01070714,41.66182857,41.16512143,42.02362857,0,0,40.27514894,-0.65112143,-0.85850714
2024,28,Arizona,38.74867857,43.05939286,40.94251429,41.56614286,0,0,40.27514894,-4.31071429,-0.62362857
2024,28,California,51.07492143,29.99259286,40.94251429,41.56614286,0,0,40.27514894,21.08232857,-0.62362857
2024,28,Florida,37.2224,47.04111429,40.94251429,41.56614286,0,0,40.27514894,-9.81871429,-0.62362857
2024,28,Georgia,39.2883,45.21986429,40.94251429,41.56614286,0,0,40.27514894,-5.93156429,-0.62362857
2024,28,Michigan,40.00874286,42.12104286,40.94251429,41.56614286,0,0,40.27514894,-2.1123,-0.62362857
2024,28,Nevada,37.32257143,42.64189286,40.94251429,41.56614286,0,0,40.27514894,-5.31932143,-0.62362857
2024,28,North Carolina,39.72074286,44.7654,40.94251429,41.56614286,0,0,40.27514894,-5.04465714,-0.62362857
2024,28,Ohio,35.5480125,45.5946875,40.92825,41.58835,0,0,40.27514894,-10.046675,-0.6601
2024,28,Pennsylvania,41.58552143,42.76756429,40.94251429,41.56614286,0,0,40.27514894,-1.18204286,-0.62362857
2024,28,Texas,36.23052857,45.96734286,40.94251429,41.56614286,0,0,40.27514894,-9.73681429,-0.62362857
2024,28,Wisconsin,41.22242857,41.22579286,40.94251429,41.56614286,0,0,40.27514894,-0.00336429,-0.62362857
2024,27,Arizona,39.7255,43.1314,40.78339286,41.66352143,0,0,40.27514894,-3.4059,-0.88012857
2024,27,California,50.6452,30.43710714,40.78339286,41.66352143,0,0,40.27514894,20.20809286,-0.88012857
2024,27,Florida,36.91255714,47.25425714,40.78339286,41.66352143,0,0,40.27514894,-10.3417,-0.88012857
2024,27,Georgia,39.34282857,45.51957143,40.78339286,41.66352143,0,0,40.27514894,-6.17674286,-0.88012857
2024,27,Michigan,40.45807857,42.27945,40.78339286,41.66352143,0,0,40.27514894,-1.82137143,-0.88012857
2024,27,Nevada,37.37267857,42.9381,40.78339286,41.66352143,0,0,40.27514894,-5.56542143,-0.88012857
2024,27,North Carolina,39.33652143,45.41261429,40.78339286,41.66352143,0,0,40.27514894,-6.07609286,-0.88012857
2024,27,Pennsylvania,41.79808571,43.47541429,40.78339286,41.66352143,0,0,40.27514894,-1.67732858,-0.88012857
2024,27,Texas,35.95643571,46.08295,40.78339286,41.66352143,0,0,40.27514894,-10.12651429,-0.88012857
2024,27,Wisconsin,40.10440714,42.61737143,40.78339286,41.66352143,0,0,40.27514894,-2.51296429,-0.88012857
2024,26,Arizona,39.82417857,42.68616429,40.60197143,41.49475714,0,0,40.27514894,-2.86198572,-0.89278571
2024,26,California,50.54697143,30.05506429,40.60197143,41.49475714,0,0,40.27514894,20.49190714,-0.89278571
2024,26,Florida,36.68988571,46.748,40.60197143,41.49475714,0,0,40.27514894,-10.05811429,-0.89278571
2024,26,Georgia,39.40683571,45.14853571,40.60197143,41.49475714,0,0,40.27514894,-5.7417,-0.89278571
2024,26,Michigan,40.79752857,41.95804286,40.60197143,41.49475714,0,0,40.27514894,-1.16051429,-0.89278571
2024,26,Nevada,37.52943571,42.43687857,40.60197143,41.49475714,0,0,40.27514894,-4.90744286,-0.89278571
2024,26,North Carolina,39.05605,45.40117857,40.60197143,41.49475714,0,0,40.27514894,-6.34512857,-0.89278571
2024,26,Pennsylvania,41.66954286,43.35176429,40.60197143,41.49475714,0,0,40.27514894,-1.68222143,-0.89278571
2024,26,Texas,35.65297143,45.77043571,40.60197143,41.49475714,0,0,40.27514894,-10.11746428,-0.89278571
2024,26,Wisconsin,40.24546429,42.43990714,40.60197143,41.49475714,0,0,40.27514894,-2.19444285,-0.89278571
2024,25,Arizona,39.46825,42.65984286,40.43984286,41.30107857,0,0,40.27514894,-3.19159286,-0.86123571
2024,25,California,50.30777143,29.69332857,40.43984286,41.30107857,0,0,40.27514894,20.61444286,-0.86123571
2024,25,Florida,36.74039286,46.22732143,40.43984286,41.30107857,0,0,40.27514894,-9.48692857,-0.86123571
2024,25,Georgia,38.66216429,44.62667857,40.43984286,41.30107857,0,0,40.27514894,-5.96451428,-0.86123571
2024,25,Michigan,40.81757143,41.57462857,40.43984286,41.30107857,0,0,40.27514894,-0.75705714,-0.86123571
2024,25,Minnesota,40.8995875,38.1536125,40.363025,41.3495625,0,0,40.27514894,2.745975,-0.9865375
2024,25,Nevada,36.47120714,42.68892143,40.43984286,41.30107857,0,0,40.27514894,-6.21771429,-0.86123571
2024,25,North Carolina,38.74977143,44.90041429,40.43984286,41.30107857,0,0,40.27514894,-6.15064286,-0.86123571
2024,25,Pennsylvania,41.21624286,42.97243571,40.43984286,41.30107857,0,0,40.27514894,-1.75619285,-0.86123571
2024,25,Texas,35.56845714,45.67779286,40.43984286,41.30107857,0,0,40.27514894,-10.10933572,-0.86123571
2024,25,Wisconsin,40.58973571,41.90632143,40.43984286,41.30107857,0,0,40.27514894,-1.31658572,-0.86123571
2024,24,Arizona,38.32690714,42.50815714,40.06477857,41.25417857,0,0,40.27514894,-4.18125,-1.1894
2024,24,California,49.6396,29.55624286,40.06477857,41.25417857,0,0,40.27514894,20.08335714,-1.1894
2024,24,Florida,35.35495,45.96130714,40.06477857,41.25417857,0,0,40.27514894,-10.60635714,-1.1894
2024,24,Georgia,38.23085,44.12190714,40.06477857,41.25417857,0,0,40.27514894,-5.89105714,-1.1894
2024,24,Michigan,40.57750714,41.31237143,40.06477857,41.25417857,0,0,40.27514894,-0.73486429,-1.1894
2024,24,Minnesota,40.71627857,38.12478571,40.06477857,41.25417857,0,0,40.27514894,2.59149286,-1.1894
2024,24,Nevada,36.04382857,42.73145,40.06477857,41.25417857,0,0,40.27514894,-6.68762143,-1.1894
2024,24,North Carolina,38.31281429,44.60417143,40.06477857,41.25417857,0,0,40.27514894,-6.29135714,-1.1894
2024,24,Pennsylvania,40.91873571,42.83383571,40.06477857,41.25417857,0,0,40.27514894,-1.9151,-1.1894
2024,24,Texas,35.19001429,45.55371429,40.06477857,41.25417857,0,0,40.27514894,-10.3637,-1.1894
2024,24,Wisconsin,40.46562143,41.83557143,40.06477857,41.25417857,0,0,40.27514894,-1.36995,-1.1894
2024,23,Arizona,38.02951429,42.69807143,39.81765,41.25483571,0,0,40.27514894,-4.66855714,-1.43718571
2024,23,Florida,34.98374286,46.06989286,39.81765,41.25483571,0,0,40.27514894,-11.08615,-1.43718571
2024,23,Georgia,38.25346429,43.82424286,39.81765,41.25483571,0,0,40.27514894,-5.57077857,-1.43718571
2024,23,Michigan,40.71558571,41.5437,39.81765,41.25483571,0,0,40.27514894,-0.82811429,-1.43718571
2024,23,Minnesota,40.681,38.28995,39.92195,41.3912,0,0,40.27514894,2.39105,-1.46925
2024,23,Nevada,36.55294286,42.77127143,39.81765,41.25483571,0,0,40.27514894,-6.21832857,-1.43718571
2024,23,North Carolina,38.09132857,44.49829286,39.81765,41.25483571,0,0,40.27514894,-6.40696429,-1.43718571
2024,23,Pennsylvania,40.88810714,43.00611429,39.81765,41.25483571,0,0,40.27514894,-2.11800715,-1.43718571
2024,23,Texas,34.74265,45.57354167,39.840975,41.29103333,0,0,40.27514894,-10.83089167,-1.45005833
2024,23,Wisconsin,40.64464286,42.18624286,39.81765,41.25483571,0,0,40.27514894,-1.5416,-1.43718571
2024,22,Arizona,38.05033571,42.65823571,39.79071429,41.01346429,0,0,40.27514894,-4.6079,-1.22275
2024,22,Florida,35.42138571,45.88265,39.79071429,41.01346429,0,0,40.27514894,-10.46126429,-1.22275
2024,22,Georgia,38.45050714,43.83032857,39.79071429,41.01346429,0,0,40.27514894,-5.37982143,-1.22275
2024,22,Michigan,40.87781429,41.51920714,39.79071429,41.01346429,0,0,40.27514894,-0.64139285,-1.22275
2024,22,Nevada,36.93619286,42.62793571,39.79071429,41.01346429,0,0,40.27514894,-5.69174285,-1.22275
2024,22,North Carolina,37.92193571,44.5818,39.79071429,41.01346429,0,0,40.27514894,-6.65986429,-1.22275
2024,22,Ohio,36.736075,46.10475,39.834125,41.019525,0,0,40.27514894,-9.368675,-1.1854
2024,22,Pennsylvania,40.91784286,42.68611429,39.79071429,41.01346429,0,0,40.27514894,-1.76827143,-1.22275
2024,22,Wisconsin,40.60338571,41.72306429,39.79071429,41.01346429,0,0,40.27514894,-1.11967858,-1.22275
2024,21,Arizona,38.63212857,42.97092857,39.99755714,40.99554286,0,0,40.27514894,-4.3388,-0.99798572
