year,state,abbr,electors,d_pv2p,r_pv2p,d_natl_share,r_natl_share,d_cand,r_cand,winner,state_winner,total_rep_electors,total_dem_electors,density,resident_dummy,birth_dummy
1964,Oklahoma,OK,7,55.74633324,44.25366676,61.34396784,38.65603216,"Johnson, Lyndon B.","Goldwater, Barry","Johnson, Lyndon B.",1,57,478,35.61,0,0
1964,Oregon,OR,7,63.92186232,36.07813768,61.34396784,38.65603216,"Johnson, Lyndon B.","Goldwater, Barry","Johnson, Lyndon B.",1,57,478,19.67,0,0
1964,Pennsylvania,PA,21,65.16560862,34.83439138,61.34396784,38.65603216,"Johnson, Lyndon B.","Goldwater, Barry","Johnson, Lyndon B.",1,57,478,257.01,0,0
1964,Rhode Island,RI,4,80.87177436,19.12822564,61.34396784,38.65603216,"Johnson, Lyndon B.","Goldwater, Barry","Johnson, Lyndon B.",1,57,478,855.9,0,0
1964,South Carolina,SC,8,41.1054449,58.8945551,61.34396784,38.65603216,"Johnson, Lyndon B.","Goldwater, Barry","Johnson, Lyndon B.",0,57,478,82.2,0,0
1964,South Dakota,SD,3,55.61241548,44.38758452,61.34396784,38.65603216,"Johnson, Lyndon B.","Goldwater, Barry","Johnson, Lyndon B.",1,57,478,9.24,0,0
1964,Tennessee,TN,11,55.50662988,44.49337012,61.34396784,38.65603216,"Johnson, Lyndon B.","Goldwater, Barry","Johnson, Lyndon B.",1,57,478,91.48,0,0
1964,Texas,TX,34,63.43794662,36.56205338,61.34396784,38.65603216,"Johnson, Lyndon B.","Goldwater, Barry","Johnson, Lyndon B.",1,57,478,39.21,1,1
1964,Utah,UT,5,54.86448003,45.13551997,61.34396784,38.65603216,"Johnson, Lyndon B.","Goldwater, Barry","Johnson, Lyndon B.",1,57,478,11.9,0,0
1964,Vermont,VT,3,66.307514,33.692486,61.34396784,38.65603216,"Johnson, Lyndon B.","Goldwater, Barry","Johnson, Lyndon B.",1,57,478,43.14,0,0
1964,Virginia,VA,13,53.68992045,46.31007955,61.34396784,38.65603216,"Johnson, Lyndon B.","Goldwater, Barry","Johnson, Lyndon B.",1,57,478,110.03,0,0
1964,Washington,WA,11,62.37815408,37.62184592,61.34396784,38.65603216,"Johnson, Lyndon B.","Goldwater, Barry","Johnson, Lyndon B.",1,57,478,44.47,0,0
1964,West Virginia,WV,5,67.93684662,32.06315338,61.34396784,38.65603216,"Johnson, Lyndon B.","Goldwater, Barry","Johnson, Lyndon B.",1,57,478,74.6,0,0
1964,Wisconsin,WI,10,62.19504902,37.80495098,61.34396784,38.65603216,"Johnson, Lyndon B.","Goldwater, Barry","Johnson, Lyndon B.",1,57,478,76.68,0,0
1964,Wyoming,WY,3,56.55847978,43.44152022,61.34396784,38.65603216,"Johnson, Lyndon B.","Goldwater, Barry","Johnson, Lyndon B.",1,57,478,3.49,0,0
1968,Alabama,AL,9,57.22790551,42.77209449,49.59537839,50.40462161,"Humphrey, Hubert","Nixon, Richard M.","Nixon, Richard M.",1,341,194,67.9,0,0
1968,Alaska,AK,3,48.50091082,51.49908918,49.59537839,50.40462161,"Humphrey, Hubert","Nixon, Richard M.","Nixon, Richard M.",0,341,194,0.5,0,0
1968,Arizona,AZ,10,38.99825037,61.00174963,49.59537839,50.40462161,"Humphrey, Hubert","Nixon, Richard M.","Nixon, Richard M.",0,341,194,14.8,0,0
1968,Arkansas,AR,6,49.44366154,50.55633846,49.59537839,50.40462161,"Humphrey, Hubert","Nixon, Richard M.","Nixon, Richard M.",0,341,194,36.52,0,0
1968,California,CA,55,48.33621425,51.66378575,49.59537839,50.40462161,"Humphrey, Hubert","Nixon, Richard M.","Nixon, Richard M.",0,341,194,124.34,0,-1
1968,Colorado,CO,9,45.01886453,54.98113547,49.59537839,50.40462161,"Humphrey, Hubert","Nixon, Richard M.","Nixon, Richard M.",0,341,194,20.44,0,0
1968,Connecticut,CT,7,52.75146357,47.24853643,49.59537839,50.40462161,"Humphrey, Hubert","Nixon, Richard M.","Nixon, Richard M.",1,341,194,611.76,0,0
