year,state,abbr,electors,d_pv,r_pv,margin,pl,pl_lag1,pl_lag2,d_2pv,d_pv_nat,r_pv_nat,margin_nat,d_2pv_nat,d_cand,r_cand,winner,d_electors,r_electors,state_winner,incumb,incumb_party,d_prev_admin,r_prev_admin,d_hsa,r_hsa,d_rsa,r_rsa,pop,area,pop_norm,hsa_adjustment,rsa_adjustment,elasticity,elasticity_lag1,elasticity_lag2
1952,Massachusetts,MA,16,45.46135392,54.22195539,-8.760601469,1.08347478,NA,NA,45.60578319,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,0,1,0,0,0,0,0,0,4650000,7838,0.297715009,0,0,1,NA,NA
1952,Michigan,MI,20,43.97414843,55.4396282,-11.46547977,-0.40373071,NA,NA,44.23345528,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,0,1,0,0,0,0,0,0,6650000,56539,0.430950636,0,0,1,NA,NA
1952,Minnesota,MN,11,44.10768382,55.32587208,-11.21818826,-0.27019532,NA,NA,44.35895249,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,0,1,0,0,0,0,0,0,3030000,79617,0.189794151,0,0,1,NA,NA
1952,Mississippi,MS,8,60.43665859,39.56334141,20.87331718,16.05877945,NA,NA,60.43665859,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,1,0,1,0,0,0,0,0,0,2152000,46914,0.131303711,0,0,1,NA,NA
1952,Missouri,MO,13,49.14373842,50.70811633,-1.56437791,4.76585928,NA,NA,49.21665055,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,0,1,0,0,0,0,0,0,3972000,68898,0.252548131,0,0,1,NA,NA
1952,Montana,MT,4,40.07478201,59.38567068,-19.31088867,-4.30309713,NA,NA,40.29217737,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,0,1,0,0,0,0,0,0,602000,145556,0.0280461,0,0,1,NA,NA
1952,Nebraska_d1,NE_d1,0,30.84620936,69.15379064,-38.30758128,-13.53166978,NA,NA,30.84620936,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,0,1,0,0,0,0,0,0,1311000,76878,0.075278129,0,0,1,NA,NA
1952,Nebraska_d2,NE_d2,0,30.84620936,69.15379064,-38.30758128,-13.53166978,NA,NA,30.84620936,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,0,1,0,0,0,0,0,0,1311000,76878,0.075278129,0,0,1,NA,NA
1952,Nebraska_d3,NE_d3,0,30.84620936,69.15379064,-38.30758128,-13.53166978,NA,NA,30.84620936,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,0,1,0,0,0,0,0,0,1311000,76878,0.075278129,0,0,1,NA,NA
1952,Nebraska,NE,6,30.84620936,69.15379064,-38.30758128,-13.53166978,NA,NA,30.84620936,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,0,1,0,0,0,0,0,0,1311000,76878,0.075278129,0,0,1,NA,NA
1952,Nevada,NV,3,38.55456868,61.44543132,-22.89086264,-5.82331046,NA,NA,38.55456868,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,0,1,0,0,0,0,0,0,181000,109806,0,0,0,1,NA,NA
1952,New Hampshire,NH,4,39.07785309,60.92214691,-21.84429382,-5.30002605,NA,NA,39.07785309,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,0,1,0,0,0,0,0,0,535000,8969,0.023582706,0,0,1,NA,NA
1952,New Jersey,NJ,16,41.98715962,56.81266051,-14.82550089,-2.39071952,NA,NA,42.49720249,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,0,1,0,0,0,0,0,0,5125000,7419,0.32935847,0,0,1,NA,NA
1952,New Mexico,NM,4,44.28225374,55.39210756,-11.10985382,-0.0956254,NA,NA,44.426925,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,0,1,0,0,0,0,0,0,735000,121365,0.036906269,0,0,1,NA,NA
1952,New York,NY,45,43.55353586,55.45288101,-11.89934515,-0.82434328,NA,NA,43.99061923,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,0,1,0,0,0,0,0,1,15192000,47224,1,0,-1,1,NA,NA
