year,weighted_avg_approval
1952,30.43464261580194
1956,71.0033414767751
1960,60.72085132756825
1964,75.3221042964275
1968,41.210652068620554
1972,58.375696643625716
1976,47.52577672141228
1980,37.73251226639613
1984,54.55704513907142
1988,51.01383339196403
1992,37.920630735208725
1996,54.724612271631564
2000,59.56359735866615
2004,48.41658712801038
2008,28.436933930309632
2012,47.897043509721776
2016,51.26510655207307
2020,42.27781232445861
2024,40.275148936555915
