"","year","state","party","two_party_vote_share","national_tpv"
"1",2020,"Alabama","Democrat",37.0886251666453,0.522403258655805
"2",2020,"Alabama","Republican",62.9113748333547,0.477596741344196
"3",2020,"Alaska","Democrat",44.7381512761507,0.522403258655805
"4",2020,"Alaska","Republican",55.2618487238493,0.477596741344196
"5",2020,"Arizona","Democrat",50.1568316791293,0.522403258655805
"6",2020,"Arizona","Republican",49.8431683208707,0.477596741344196
"7",2020,"Arkansas","Democrat",35.7875667220168,0.522403258655805
"8",2020,"Arkansas","Republican",64.2124332779832,0.477596741344196
"9",2020,"California","Democrat",64.9089113606676,0.522403258655805
"10",2020,"California","Republican",35.0910886393324,0.477596741344196
"11",2020,"Colorado","Democrat",56.9383194923002,0.522403258655805
"12",2020,"Colorado","Republican",43.0616805076998,0.477596741344196
"13",2020,"Connecticut","Democrat",60.1950490880778,0.522403258655805
"14",2020,"Connecticut","Republican",39.8049509119222,0.477596741344196
"15",2020,"Delaware","Democrat",59.6267441649845,0.522403258655805
"16",2020,"Delaware","Republican",40.3732558350155,0.477596741344196
"17",2020,"District Of Columbia","Democrat",94.4669538476194,0.522403258655805
"18",2020,"District Of Columbia","Republican",5.53304615238056,0.477596741344196
"19",2020,"Florida","Democrat",48.3052453378584,0.522403258655805
"20",2020,"Florida","Republican",51.6947546621416,0.477596741344196
"21",2020,"Georgia","Democrat",50.1193296629086,0.522403258655805
"22",2020,"Georgia","Republican",49.8806703370914,0.477596741344196
"23",2020,"Hawaii","Democrat",65.0326646465149,0.522403258655805
"24",2020,"Hawaii","Republican",34.9673353534851,0.477596741344196
"25",2020,"Idaho","Democrat",34.1228570749221,0.522403258655805
"26",2020,"Idaho","Republican",65.8771429250779,0.477596741344196
"27",2020,"Illinois","Democrat",58.6590437328069,0.522403258655805
"28",2020,"Illinois","Republican",41.3409562671931,0.477596741344196
"29",2020,"Indiana","Democrat",41.804951992557,0.522403258655805
"30",2020,"Indiana","Republican",58.195048007443,0.477596741344196
"31",2020,"Iowa","Republican",54.1832630846371,0.477596741344196
"32",2020,"Iowa","Democrat",45.8167369153629,0.522403258655805
"33",2020,"Kansas","Republican",57.4934282556314,0.477596741344196
"34",2020,"Kansas","Democrat",42.5065717443686,0.522403258655805
"35",2020,"Kentucky","Republican",63.200102900263,0.477596741344196
"36",2020,"Kentucky","Democrat",36.799897099737,0.522403258655805
"37",2020,"Louisiana","Democrat",40.535559543709,0.522403258655805
"38",2020,"Louisiana","Republican",59.464440456291,0.477596741344196
"39",2020,"Maine","Democrat",54.670404582004,0.522403258655805
"40",2020,"Maine","Republican",45.329595417996,0.477596741344196
"41",2020,"Maryland","Republican",32.9709529529077,0.477596741344196
"42",2020,"Maryland","Democrat",67.0290470470923,0.522403258655805
"43",2020,"Massachusetts","Democrat",67.1155495401482,0.522403258655805
"44",2020,"Massachusetts","Republican",32.8844504598518,0.477596741344196
